ID,IntRate,LoanAmt,LoanTerm,Debt2Inc,Home_OWN,Home_RENT,MonthlyInc,RevCredBal,FICO,EmpLen
81174,8.9,20000,36,14.9,False,False,6541.67,14272.0,737,1
99592,12.12,19200,36,28.36,False,False,4583.33,11140.0,717,2
80059,21.98,35000,60,23.81,False,False,11500.0,21977.0,692,2
33182,11.71,12000,36,18.78,False,True,3195.0,14469.0,697,9
62403,15.31,6000,36,20.05,True,False,4891.67,10391.0,672,3
48808,7.9,10000,36,26.09,False,True,2916.67,15957.0,722,10
76404,14.33,14675,36,26.92,False,True,3150.0,7246.0,687,8
15867,6.91,7000,36,7.1,False,True,5000.0,7612.0,717,3
94971,19.72,2000,36,10.29,False,True,3575.0,12036.0,672,6
36911,14.27,10625,36,12.54,False,False,4250.0,10767.0,667,1
53853,7.62,9600,36,3.45,False,True,11250.0,4606.0,727,1
62127,12.12,10000,36,17.72,False,True,9000.0,20317.0,697,7
44987,9.76,10000,36,7.13,False,True,2733.33,6112.0,732,3
99483,19.05,30000,60,21.25,False,False,6250.0,34927.0,697,6
28798,17.99,6500,60,19.63,False,True,4100.0,11697.0,667,2
24168,11.99,17400,36,12.47,False,True,6833.33,26587.0,697,7
10356,16.82,4000,60,13.71,False,False,4500.0,20804.0,672,3
46027,7.9,7200,36,24.82,False,True,5416.67,12017.0,707,7
2238,14.42,8000,36,24.63,False,True,2964.17,8928.0,677,6
65278,15.31,8000,36,15.46,False,False,2916.67,7152.0,677,5
4227,8.59,3000,36,3.72,False,False,4167.0,7074.0,767,5
50182,7.9,14500,36,4.85,False,False,3958.33,9598.0,762,4
87023,21.0,23850,60,28.81,False,False,5833.33,25968.0,687,9
46120,12.12,14000,36,14.93,False,False,10583.33,35457.0,687,2
94582,15.8,16000,60,11.94,False,True,5250.0,154.0,687,3
39591,7.9,7200,36,7.98,False,True,5666.67,8783.0,722,3
78862,7.62,20125,36,4.29,False,False,3750.0,73952.0,832,1
98029,17.27,3200,36,8.36,False,False,2500.0,6619.0,672,3
95579,11.14,12725,36,22.15,False,True,4416.67,4079.0,722,3
4868,19.13,5500,36,3.58,False,True,12000.0,0.0,662,8
26822,21.74,15650,36,13.86,False,True,3700.0,10605.0,662,4
98445,17.27,9000,36,25.22,False,True,5166.67,5852.0,677,10
14958,11.86,5000,36,4.0,False,True,5577.0,1069.0,717,1
14754,10.38,3000,36,15.21,False,True,3083.33,3098.0,712,2
26888,7.49,5450,60,2.48,False,False,4600.0,4326.0,787,10
81759,12.12,14000,36,11.38,False,False,4500.0,18583.0,707,5
16667,17.44,3000,36,15.79,False,True,7952.0,12578.0,662,8
92046,17.27,32000,60,15.61,False,True,9250.0,32566.0,702,2
88279,21.49,22250,60,28.87,False,True,4166.67,14107.0,667,9
82406,11.14,16450,36,7.57,False,True,7500.0,2928.0,727,1
17143,12.98,2500,36,16.45,False,True,1100.0,5019.0,672,4
27486,9.99,6000,36,7.5,False,False,2625.0,5167.0,717,10
96613,14.33,27575,36,19.63,False,False,5166.67,8720.0,692,10
6263,8.59,1000,36,10.69,True,False,4583.33,17069.0,757,1
29283,11.49,12000,36,12.85,False,True,2708.33,12150.0,707,1
99766,10.16,30000,36,22.21,False,False,8000.0,33218.0,717,10
85893,14.33,13500,36,31.7,False,True,4166.67,31168.0,682,1
98972,15.8,9000,36,22.65,False,False,3250.0,16480.0,667,3
44054,9.91,15000,36,9.16,False,False,4250.0,11615.0,732,10
51948,7.9,5300,36,12.82,False,True,5500.0,9996.0,727,1
48676,13.11,7000,36,16.76,False,True,3650.0,6444.0,687,5
71489,14.09,8000,36,12.06,False,True,5000.0,15360.0,697,6
48319,8.9,7500,36,10.02,False,True,5500.0,2382.0,717,6
83768,17.27,12000,36,14.86,True,False,4583.33,9145.0,667,10
88084,15.31,6000,36,15.91,False,True,3833.33,5760.0,672,10
9664,6.76,4500,36,14.74,False,False,2666.67,2705.0,792,7
1494,10.83,1600,36,5.36,False,True,2427.0,7020.0,702,3
61703,17.77,10000,36,30.4,True,False,2500.0,8379.0,667,8
21993,13.06,7450,36,3.3,False,False,5883.33,6416.0,712,10
58359,7.62,3225,36,17.79,False,False,5833.33,70323.0,762,10
67335,17.77,23675,36,29.94,True,False,6399.0,21920.0,682,10
57080,12.12,12000,36,18.62,False,True,5833.33,18838.0,692,10
30035,16.49,25000,36,18.18,False,True,6000.0,10630.0,697,7
67158,14.09,10000,36,21.45,False,True,4583.33,8548.0,677,6
33777,7.51,6000,36,2.52,False,False,4800.0,1442.0,752,10
59724,13.11,6000,36,15.33,False,True,3333.33,12503.0,687,2
95096,16.29,7925,36,21.25,False,True,2000.0,7840.0,667,6
13216,14.35,6000,36,14.08,False,False,2500.0,3621.0,677,1
53271,6.62,7000,36,8.03,False,False,10000.0,6761.0,752,6
25380,5.99,4500,36,18.48,False,False,10000.0,17863.0,767,6
6987,11.14,12000,36,2.37,False,False,12500.0,10944.0,737,5
96413,19.72,10375,36,4.99,False,True,4166.67,6122.0,667,5
88273,18.75,4800,36,10.89,False,False,5833.33,17943.0,672,10
48519,13.11,6400,36,11.46,False,False,4666.67,8942.0,702,10
69456,7.9,5000,36,17.22,True,False,4000.0,6023.0,707,10
41198,6.62,12000,36,21.66,False,True,5250.0,20639.0,742,1
34122,10.65,15000,36,16.15,False,False,7083.33,338.0,722,9
98634,6.03,20000,36,18.67,False,False,14583.33,29044.0,717,7
82476,14.09,10000,36,10.59,False,True,2916.67,10390.0,692,1
67263,14.09,18825,36,13.08,False,True,4000.0,20694.0,712,4
18452,6.17,4000,36,15.0,False,True,4234.0,587.0,747,2
57866,13.99,5750,36,12.44,False,True,5000.0,12465.0,662,10
77151,15.8,20950,36,15.71,False,False,12916.67,30188.0,692,4
25405,10.99,8000,36,14.76,False,True,7500.0,7120.0,712,1
85686,14.09,10000,36,14.76,False,True,5000.0,4762.0,677,4
54649,6.03,14000,36,19.53,False,False,6000.0,4140.0,767,8
19069,7.66,5000,36,3.33,False,True,9000.0,12297.0,737,10
74479,19.05,25000,60,10.53,False,False,6250.0,15159.0,702,9
76693,8.9,35000,36,14.62,False,True,10416.67,21321.0,737,10
32008,8.49,14000,60,9.89,False,False,9000.0,23773.0,762,4
80638,19.72,25000,60,32.1,True,False,4916.67,35208.0,697,7
36889,14.65,10800,36,7.89,False,True,9583.33,6487.0,677,1
72169,14.33,20000,36,21.44,False,False,6250.0,14268.0,702,9
59117,9.76,1400,36,27.14,False,False,4683.33,6466.0,732,2
15427,16.32,7500,36,12.54,False,False,4600.0,6120.0,667,2
85618,14.09,5000,36,29.02,False,False,5416.67,3977.0,682,1
19328,16.4,7500,36,13.34,False,True,4166.67,7430.0,662,1
20263,5.79,10000,36,6.49,False,False,12500.0,75629.0,747,1
9194,9.88,3200,36,6.51,False,True,4500.0,3198.0,742,5
27520,15.99,5500,60,17.95,False,True,4250.0,13256.0,702,10
69242,23.28,18000,60,9.05,False,True,7083.33,13106.0,662,10
48662,13.11,8800,36,16.73,False,True,3150.25,14266.0,702,4
65775,11.14,7000,36,23.02,False,False,6000.0,19634.0,707,6
92773,13.11,8000,36,19.01,False,True,2625.0,7554.0,727,5
81950,14.33,11625,36,22.84,False,False,2833.33,27411.0,707,8
84215,21.49,30000,36,16.7,False,False,12500.0,19096.0,672,9
93352,8.9,16000,36,19.71,False,True,7083.33,6185.0,722,4
103874,13.98,10000,60,14.86,False,True,3916.67,5188.0,712,4
5169,11.48,6000,36,18.2,False,False,5031.67,50935.0,707,10
29812,13.49,8000,36,14.92,False,True,5000.0,4786.0,687,2
56991,18.25,15000,36,9.73,False,False,5000.0,14596.0,662,8
62537,17.77,7000,36,32.25,False,True,3333.33,35604.0,667,7
22858,6.92,8400,36,13.3,False,True,3000.0,6998.0,747,1
78602,7.9,15000,36,18.62,False,False,4500.0,17212.0,742,7
87504,10.16,2800,36,12.0,False,True,2083.33,7261.0,697,1
92105,16.29,7750,36,26.74,False,False,2916.67,17102.0,682,5
59387,8.9,4500,36,18.18,False,True,2166.67,5361.0,702,4
62445,15.31,18000,60,4.93,False,True,5258.5,11596.0,712,10
24320,15.23,6000,36,19.57,True,False,4583.33,8077.0,667,1
96988,13.11,10000,36,7.56,False,True,2500.0,10906.0,687,7
47002,8.9,12000,36,12.46,False,True,5000.0,13940.0,727,10
53897,12.12,10000,36,18.4,False,False,5000.0,13202.0,687,10
59272,7.62,1200,36,8.69,False,False,3833.33,350.0,732,7
80512,11.14,2500,36,10.08,False,True,4333.33,4922.0,722,3
90748,7.9,16000,36,12.3,False,False,8416.67,21913.0,697,5
81914,10.16,5000,36,24.5,False,False,6250.0,33705.0,702,6
97954,19.05,4375,36,9.09,False,True,2916.67,6944.0,672,6
30600,16.89,12000,60,15.24,False,False,7500.0,28589.0,677,3
63340,18.49,7000,36,18.9,False,False,2000.0,7315.0,662,1
35313,12.69,20800,60,7.08,False,False,6541.67,13197.0,732,1
45225,13.11,19200,60,3.45,False,False,8333.33,50625.0,747,2
98090,15.8,22000,60,21.32,False,False,5416.67,10267.0,702,10
71142,19.05,15000,36,24.88,False,True,6000.0,12162.0,677,1
52333,8.9,20000,36,17.08,False,True,4916.67,14952.0,732,4
15274,6.17,2000,36,18.35,False,True,5733.58,21998.0,747,3
64690,14.09,6000,36,22.5,False,True,2666.67,5955.0,672,10
66605,15.8,5000,36,34.2,False,True,3750.0,5414.0,667,3
43053,7.9,16350,36,25.03,True,False,4541.67,25731.0,732,9
59192,7.9,20000,36,20.04,False,False,4625.0,31335.0,757,10
